Track,Name,Theme,Type,Title,Paper,Slide,Video,Organization,Country
Workshop,OARS,Recommendation,Invited,Large Language Models for Generative Recommendation,,,,,
Workshop,OARS,Recommendation,Contributed,Active Learning with a Budget to Rank Candidates Rated by Disjoint Assessors,https://oars-workshop.github.io/papers/tushar2023.pdf,,,,
Workshop,OARS,Recommendation,Contributed,Evaluating Federated Session-Based Recommender Systems,https://oars-workshop.github.io/papers/marko2023.pdf,,,,
Workshop,OARS,Recommendation,Invited,"Incremental Training, Session-based Recommendation, and System Level Approaches to Online Recommender Systems",,,,,
Workshop,OARS,Recommendation,Invited,User Centric Recommender Systems,,,,,
Workshop,OARS,Recommendation,Contributed,FLASH4Rec: A Lightweight and Sparsely Activated Transformer for User-Aware Sequential Recommendation,https://oars-workshop.github.io/papers/yachen2023.pdf,,,,
Workshop,OARS,Recommendation,Contributed,Empowering recommender systems using automatically generated Knowledge Graphs and Reinforcement Learning,https://oars-workshop.github.io/papers/verma2023.pdf,,,University of Galway Ireland,
Workshop,OARS,Recommendation,Invited,Exploring the Potential of Large Language Models (LLMs) in Learning on Graphs,https://arxiv.org/pdf/2307.03393.pdf,https://oars-workshop.github.io/slides/Jilian_LLMs-LoG.pdf,,,
Workshop,OARS,Recommendation,Contributed,"Decision Layer: Enhancing Multi-model, Multi Timescale Decisions on the Fly with Online Feedback",https://oars-workshop.github.io/papers/meet2023.pdf,,,Amazon Ads,India
Workshop,AdKDD,Recommendation,,TwERC: High Performance Ensembled Candidate Generation for Ads Recommendation at Twitter,https://arxiv.org/pdf/2302.13915.pdf,,,Twitter,USA
Workshop,AdKDD,Recommendation,,Advancing Ad Auction Realism: Practical Insights & Modeling Implications,https://arxiv.org/pdf/2307.11732.pdf,,,Amazon Ads,USA
Workshop,AdKDD,Recommendation,,Staging E-Commerce Products for Online Advertising using Retrieval Assisted Image Generation,https://arxiv.org/pdf/2307.15326.pdf,,,Yahoo Research,USA
Workshop,AdKDD,Recommendation,Keynote,YouTube Ad Recommendations,,,https://youtu.be/dNfRH0CbFGk?t=3890,YouTube Ads,USA
Workshop,AdKDD,Recommendation,,AdaEnsemble: Learning Adaptively Sparse Structured Ensemble Network for Click-Through Rate Prediction,https://arxiv.org/pdf/2301.08353.pdf,,,Credit Karma,USA
Workshop,AdKDD,Recommendation,Invited Talk,Measuring Incrementality in LinkedIn's Job Marketplace,,,,,
Workshop,AdKDD,Recommendation,,Towards the Better Ranking Consistency: A Multi-task Learning Framework for Early Stage Ads Ranking,https://arxiv.org/pdf/2307.11096.pdf,,,"Meta Platforms, Inc.",USA
Workshop,AdKDD,Recommendation,,Hierarchical Queries Optimization for the Attribution Reporting API,,,,,
